clusterNum	maxK	pItem	pFeature	clusterAlg	distance	avg_silhouette_width
3	7	0.9	0.7	hc	spearman	0.551862955
3	5	0.7	0.7	hc	spearman	0.547386808
3	6	0.8	0.8	pam	canberra	0.542122626
3	7	0.9	0.7	pam	spearman	0.541605847
3	7	0.5	0.7	hc	spearman	0.539314955
3	7	0.7	0.7	hc	spearman	0.536223041
3	6	0.5	0.8	pam	spearman	0.529366606
3	6	0.8	0.7	pam	spearman	0.527314755
3	6	0.7	0.6	hc	spearman	0.521507688
3	5	0.7	0.7	pam	spearman	0.517110202
3	6	0.6	0.7	pam	spearman	0.516968094
3	5	0.6	0.6	hc	spearman	0.50661063
3	5	0.5	1	pam	canberra	0.5037892
3	6	0.9	0.6	hc	spearman	0.503447513
3	7	0.8	0.6	hc	spearman	0.502420253
3	5	0.8	0.6	hc	spearman	0.501718361
3	7	0.6	0.6	hc	spearman	0.50067183
3	5	0.5	0.7	pam	spearman	0.496497984
3	7	0.5	1	pam	canberra	0.495140334
3	6	0.5	0.6	hc	spearman	0.491270753
3	6	0.7	0.6	pam	spearman	0.489827975
3	5	0.5	0.7	hc	spearman	0.486847187
3	6	0.9	0.6	pam	spearman	0.485365967
3	7	0.7	0.7	pam	spearman	0.484627007
3	5	0.8	0.6	pam	spearman	0.484564309
3	5	0.6	0.6	pam	spearman	0.476845192
3	6	0.5	0.6	pam	spearman	0.474242458
3	5	0.6	0.9	pam	canberra	0.47361797
3	7	0.6	0.9	pam	canberra	0.472984186
3	5	0.7	0.8	pam	canberra	0.461843854
3	5	0.9	0.5	hc	spearman	0.459268912
3	6	0.5	0.9	pam	canberra	0.455699758
3	6	0.8	0.5	hc	spearman	0.45330303
3	7	0.7	0.8	pam	canberra	0.452457982
3	7	0.9	0.5	hc	spearman	0.450982008
3	7	0.7	0.5	hc	spearman	0.449576876
3	5	0.7	0.5	hc	spearman	0.44841241
3	5	0.9	0.5	pam	spearman	0.445454448
3	6	0.6	0.5	hc	spearman	0.444620654
3	6	0.6	0.8	pam	canberra	0.442792743
3	7	0.5	0.5	hc	spearman	0.438584452
3	5	0.5	0.5	hc	spearman	0.437098491
3	5	0.8	0.7	pam	canberra	0.434199315
3	5	0.5	0.8	pam	canberra	0.431700283
3	7	0.5	0.8	pam	canberra	0.431193634
3	6	0.9	0.7	pam	canberra	0.430196473
3	7	0.5	0.5	pam	spearman	0.428901271
3	6	0.7	0.7	pam	canberra	0.42792009
3	7	0.8	0.7	pam	canberra	0.42615165
3	5	0.6	0.7	pam	canberra	0.416910503
3	7	0.6	0.7	pam	canberra	0.414411405
3	6	0.6	0.5	pam	spearman	0.409074529
3	7	0.9	0.6	pam	canberra	0.404659924
3	5	0.9	0.7	pam	spearman	0.400465709
3	6	0.8	0.6	pam	canberra	0.396751887
3	7	0.7	0.6	pam	canberra	0.395360687
3	5	0.9	0.6	pam	canberra	0.392759875
3	7	0.5	0.7	pam	spearman	0.389929156
3	6	0.5	0.7	pam	canberra	0.385807736
3	7	0.8	0.6	pam	spearman	0.379468506
3	5	0.7	0.6	pam	canberra	0.378122838
3	6	0.6	0.6	pam	canberra	0.373698303
3	7	0.6	0.6	pam	spearman	0.364163218
3	6	0.9	0.5	pam	canberra	0.364139412
3	5	0.8	0.5	pam	canberra	0.356419917
3	7	0.8	0.5	pam	canberra	0.354621327
3	7	0.9	0.5	pam	spearman	0.353735209
3	6	0.7	0.5	pam	canberra	0.353644123
3	5	0.5	0.6	pam	canberra	0.351324098
3	5	0.7	0.5	pam	spearman	0.342132737
3	6	0.8	0.5	pam	spearman	0.341224521
3	7	0.5	0.6	pam	canberra	0.331613317
3	5	0.5	0.5	pam	spearman	0.327883445
3	7	0.6	0.5	pam	canberra	0.324314034
3	6	0.5	0.5	pam	canberra	0.317984435
3	5	0.6	0.5	pam	canberra	0.313790183
3	7	0.7	0.5	pam	spearman	0.313542826
4	6	0.9	0.9	pam	binary	0.976275323
4	6	0.9	0.5	hc	binary	0.976249094
4	7	0.9	0.8	pam	binary	0.976193457
4	5	0.9	0.8	hc	binary	0.976121252
4	7	0.9	0.8	hc	binary	0.976002418
